Model,Model_Key,Fit_Stage,Year,Observed_Temperature_Change_From_1951_1980_C,Fitted_Temperature_Change_From_1951_1980_C,Residual_C,Absolute_Residual_C
Quadratic time trend,quadratic_time,full_data,1994,0.32,0.3646896228771229,-0.044689622877122914,0.044689622877122914
Quadratic time trend,quadratic_time,full_data,1995,0.45,0.38289466783216786,0.06710533216783215,0.06710533216783215
Quadratic time trend,quadratic_time,full_data,1996,0.33,0.4014483225108226,-0.07144832251082256,0.07144832251082256
Quadratic time trend,quadratic_time,full_data,1997,0.46,0.42035058691308697,0.039649413086913055,0.039649413086913055
Quadratic time trend,quadratic_time,full_data,1998,0.61,0.4396014610389611,0.1703985389610389,0.1703985389610389
Quadratic time trend,quadratic_time,full_data,1999,0.38,0.45920094488844493,-0.07920094488844492,0.07920094488844492
Quadratic time trend,quadratic_time,full_data,2000,0.39,0.4791490384615385,-0.08914903846153849,0.08914903846153849
Quadratic time trend,quadratic_time,full_data,2001,0.53,0.4994457417582418,0.030554258241758225,0.030554258241758225
Quadratic time trend,quadratic_time,full_data,2002,0.63,0.520091054778555,0.10990894522144501,0.10990894522144501
Quadratic time trend,quadratic_time,full_data,2003,0.62,0.5410849775224776,0.07891502247752236,0.07891502247752236
Quadratic time trend,quadratic_time,full_data,2004,0.53,0.5624275099900102,-0.032427509990010206,0.032427509990010206
Quadratic time trend,quadratic_time,full_data,2005,0.67,0.5841186521811523,0.08588134781884771,0.08588134781884771
Quadratic time trend,quadratic_time,full_data,2006,0.63,0.6061584040959044,0.023841595904095625,0.023841595904095625
Quadratic time trend,quadratic_time,full_data,2007,0.66,0.6285467657342659,0.0314532342657341,0.0314532342657341
Quadratic time trend,quadratic_time,full_data,2008,0.54,0.6512837370962372,-0.11128373709623718,0.11128373709623718
Quadratic time trend,quadratic_time,full_data,2009,0.65,0.6743693181818183,-0.02436931818181831,0.02436931818181831
Quadratic time trend,quadratic_time,full_data,2010,0.72,0.6978035089910091,0.022196491008990904,0.022196491008990904
Quadratic time trend,quadratic_time,full_data,2011,0.61,0.7215863095238098,-0.11158630952380977,0.11158630952380977
Quadratic time trend,quadratic_time,full_data,2012,0.65,0.74571771978022,-0.09571771978021992,0.09571771978021992
Quadratic time trend,quadratic_time,full_data,2013,0.67,0.77019773976024,-0.10019773976023993,0.10019773976023993
Quadratic time trend,quadratic_time,full_data,2014,0.74,0.7950263694638696,-0.05502636946386963,0.05502636946386963
Quadratic time trend,quadratic_time,full_data,2015,0.89,0.8202036088911092,0.0697963911088908,0.0697963911088908
Quadratic time trend,quadratic_time,full_data,2016,1.01,0.8457294580419582,0.1642705419580418,0.1642705419580418
Quadratic time trend,quadratic_time,full_data,2017,0.92,0.871603916916417,0.04839608308358301,0.04839608308358301
Quadratic time trend,quadratic_time,full_data,2018,0.84,0.8978269855144857,-0.05782698551448573,0.05782698551448573
Quadratic time trend,quadratic_time,full_data,2019,0.97,0.924398663836164,0.04560133616383599,0.04560133616383599
Quadratic time trend,quadratic_time,full_data,2020,1.02,0.9513189518814521,0.06868104811854792,0.06868104811854792
Quadratic time trend,quadratic_time,full_data,2021,0.84,0.9785878496503498,-0.13858784965034987,0.13858784965034987
Quadratic time trend,quadratic_time,training_data,1958,0.06,-0.056613275613275664,0.11661327561327567,0.11661327561327567
Quadratic time trend,quadratic_time,training_data,1959,0.03,-0.0512535870837758,0.08125358708377581,0.08125358708377581
Quadratic time trend,quadratic_time,training_data,1960,-0.03,-0.0455303522473334,0.015530352247333401,0.015530352247333401
Quadratic time trend,quadratic_time,training_data,1961,0.06,-0.03944357110394847,0.09944357110394847,0.09944357110394847
Quadratic time trend,quadratic_time,training_data,1962,0.03,-0.03299324365362101,0.06299324365362101,0.06299324365362101
Quadratic time trend,quadratic_time,training_data,1963,0.05,-0.02617936989635102,0.07617936989635102,0.07617936989635102
Quadratic time trend,quadratic_time,training_data,1964,-0.2,-0.019001949832138487,-0.18099805016786152,0.18099805016786152
Quadratic time trend,quadratic_time,training_data,1965,-0.11,-0.011460983460983433,-0.09853901653901656,0.09853901653901656
Quadratic time trend,quadratic_time,training_data,1966,-0.06,-0.0035564707828858386,-0.05644352921711416,0.05644352921711416
Quadratic time trend,quadratic_time,training_data,1967,-0.02,0.004711588202154289,-0.02471158820215429,0.02471158820215429
Quadratic time trend,quadratic_time,training_data,1968,-0.08,0.01334319349413695,-0.09334319349413694,0.09334319349413694
Quadratic time trend,quadratic_time,training_data,1969,0.05,0.022338345093062144,0.02766165490693786,0.02766165490693786
Quadratic time trend,quadratic_time,training_data,1970,0.03,0.03169704299892987,-0.0016970429989298721,0.0016970429989298721
Quadratic time trend,quadratic_time,training_data,1971,-0.08,0.04141928721174012,-0.12141928721174011,0.12141928721174011
Quadratic time trend,quadratic_time,training_data,1972,0.01,0.05150507773149291,-0.04150507773149291,0.04150507773149291
Quadratic time trend,quadratic_time,training_data,1973,0.16,0.061954414558188224,0.09804558544181177,0.09804558544181177
Quadratic time trend,quadratic_time,training_data,1974,-0.07,0.07276729769182608,-0.14276729769182608,0.14276729769182608
Quadratic time trend,quadratic_time,training_data,1975,-0.01,0.08394372713240647,-0.09394372713240647,0.09394372713240647
Quadratic time trend,quadratic_time,training_data,1976,-0.1,0.09548370287992938,-0.1954837028799294,0.1954837028799294
Quadratic time trend,quadratic_time,training_data,1977,0.18,0.10738722493439484,0.07261277506560515,0.07261277506560515
Quadratic time trend,quadratic_time,training_data,1978,0.07,0.11965429329580285,-0.04965429329580284,0.04965429329580284
Quadratic time trend,quadratic_time,training_data,1979,0.16,0.13228490796415338,0.027715092035846628,0.027715092035846628
Quadratic time trend,quadratic_time,training_data,1980,0.26,0.1452790689394464,0.11472093106055362,0.11472093106055362
Quadratic time trend,quadratic_time,training_data,1981,0.32,0.15863677622168199,0.16136322377831802,0.16136322377831802
Quadratic time trend,quadratic_time,training_data,1982,0.14,0.1723580298108601,-0.032358029810860084,0.032358029810860084
Quadratic time trend,quadratic_time,training_data,1983,0.31,0.18644282970698076,0.12355717029301924,0.12355717029301924
Quadratic time trend,quadratic_time,training_data,1984,0.16,0.20089117591004396,-0.04089117591004396,0.04089117591004396
Quadratic time trend,quadratic_time,training_data,1985,0.12,0.21570306842004966,-0.09570306842004966,0.09570306842004966
Quadratic time trend,quadratic_time,training_data,1986,0.18,0.23087850723699793,-0.05087850723699794,0.05087850723699794
Quadratic time trend,quadratic_time,training_data,1987,0.32,0.24641749236088872,0.07358250763911128,0.07358250763911128
Quadratic time trend,quadratic_time,training_data,1988,0.39,0.26232002379172203,0.12767997620827798,0.12767997620827798
Quadratic time trend,quadratic_time,training_data,1989,0.27,0.27858610152949786,-0.008586101529497847,0.008586101529497847
Quadratic time trend,quadratic_time,training_data,1990,0.45,0.29521572557421627,0.15478427442578374,0.15478427442578374
Quadratic time trend,quadratic_time,training_data,1991,0.4,0.3122088959258772,0.08779110407412283,0.08779110407412283
Quadratic time trend,quadratic_time,training_data,1992,0.22,0.32956561258448064,-0.10956561258448064,0.10956561258448064
Quadratic time trend,quadratic_time,training_data,1993,0.23,0.34728587555002655,-0.11728587555002654,0.11728587555002654
Quadratic time trend,quadratic_time,training_data,1994,0.32,0.3653696848225151,-0.04536968482251508,0.04536968482251508
Quadratic time trend,quadratic_time,training_data,1995,0.45,0.38381704040194614,0.06618295959805387,0.06618295959805387
Quadratic time trend,quadratic_time,training_data,1996,0.33,0.4026279422883197,-0.0726279422883197,0.0726279422883197
Quadratic time trend,quadratic_time,training_data,1997,0.46,0.42180239048163576,0.03819760951836426,0.03819760951836426
Quadratic time trend,quadratic_time,training_data,1998,0.61,0.44134038498189443,0.16865961501810556,0.16865961501810556
Quadratic time trend,quadratic_time,training_data,1999,0.38,0.4612419257890956,-0.08124192578909561,0.08124192578909561
Quadratic time trend,quadratic_time,training_data,2000,0.39,0.4815070129032394,-0.09150701290323937,0.09150701290323937
Quadratic time trend,quadratic_time,training_data,2001,0.53,0.5021356463243256,0.027864353675674414,0.027864353675674414
Quadratic time trend,quadratic_time,training_data,2002,0.63,0.5231278260523543,0.1068721739476457,0.1068721739476457
Quadratic time trend,quadratic_time,training_data,2003,0.62,0.5444835520873257,0.07551644791267431,0.07551644791267431
Quadratic time trend,quadratic_time,training_data,2004,0.53,0.5662028244292395,-0.0362028244292395,0.0362028244292395
Quadratic time trend,quadratic_time,training_data,2005,0.67,0.5882856430780959,0.0817143569219041,0.0817143569219041
Quadratic time trend,quadratic_time,training_data,2006,0.63,0.6107320080338948,0.01926799196610518,0.01926799196610518
Quadratic time trend,quadratic_time,training_data,2007,0.66,0.6335419192966363,0.02645808070336375,0.02645808070336375
Quadratic time trend,quadratic_time,training_data,2008,0.54,0.6567153768663202,-0.11671537686632016,0.11671537686632016
Quadratic time trend,quadratic_time,training_data,2009,0.65,0.6802523807429467,-0.030252380742946672,0.030252380742946672
Quadratic time trend,quadratic_time,training_data,2010,0.72,0.7041529309265158,0.01584706907348421,0.01584706907348421
Quadratic time trend,quadratic_time,training_data,2011,0.61,0.7284170274170273,-0.11841702741702731,0.11841702741702731
Quadratic time trend,quadratic_time,test_data,2012,0.65,0.7530446702144814,-0.10304467021448138,0.10304467021448138
Quadratic time trend,quadratic_time,test_data,2013,0.67,0.7780358593188781,-0.10803585931887805,0.10803585931887805
Quadratic time trend,quadratic_time,test_data,2014,0.74,0.8033905947302172,-0.06339059473021724,0.06339059473021724
Quadratic time trend,quadratic_time,test_data,2015,0.89,0.829108876448499,0.06089112355150106,0.06089112355150106
Quadratic time trend,quadratic_time,test_data,2016,1.01,0.8551907044737234,0.15480929552627665,0.15480929552627665
Quadratic time trend,quadratic_time,test_data,2017,0.92,0.8816360788058901,0.03836392119410992,0.03836392119410992
Quadratic time trend,quadratic_time,test_data,2018,0.84,0.9084449994449992,-0.06844499944499927,0.06844499944499927
Quadratic time trend,quadratic_time,test_data,2019,0.97,0.935617466391051,0.03438253360894894,0.03438253360894894
Quadratic time trend,quadratic_time,test_data,2020,1.02,0.9631534796440454,0.05684652035595461,0.05684652035595461
Quadratic time trend,quadratic_time,test_data,2021,0.84,0.9910530392039824,-0.1510530392039824,0.1510530392039824
Quartic time trend,quartic_time,full_data,1958,0.06,0.043534223677992666,0.016465776322007332,0.016465776322007332
Quartic time trend,quartic_time,full_data,1959,0.03,0.021879248568232087,0.008120751431767912,0.008120751431767912
Quartic time trend,quartic_time,full_data,1960,-0.03,0.004044915689257113,-0.03404491568925711,0.03404491568925711
Quartic time trend,quartic_time,full_data,1961,0.06,-0.010207491517132551,0.07020749151713254,0.07020749151713254
Quartic time trend,quartic_time,full_data,1962,0.03,-0.021109404975906222,0.05110940497590622,0.05110940497590622
Quartic time trend,quartic_time,full_data,1963,0.05,-0.02888497197880214,0.07888497197880215,0.07888497197880215
Quartic time trend,quartic_time,full_data,1964,-0.2,-0.033751055184327576,-0.16624894481567243,0.16624894481567243
Quartic time trend,quartic_time,full_data,1965,-0.11,-0.03591723261775875,-0.07408276738224126,0.07408276738224126
Quartic time trend,quartic_time,full_data,1966,-0.06,-0.035585797671140874,-0.024414202328859123,0.024414202328859123
Quartic time trend,quartic_time,full_data,1967,-0.02,-0.03295175910328813,0.012951759103288132,0.012951759103288132
Quartic time trend,quartic_time,full_data,1968,-0.08,-0.02820284103978369,-0.05179715896021631,0.05179715896021631
Quartic time trend,quartic_time,full_data,1969,0.05,-0.021519482972979696,0.07151948297297969,0.07151948297297969
Quartic time trend,quartic_time,full_data,1970,0.03,-0.013074839761997241,0.04307483976199724,0.04307483976199724
Quartic time trend,quartic_time,full_data,1971,-0.08,-0.003034781632726531,-0.07696521836727346,0.07696521836727346
Quartic time trend,quartic_time,full_data,1972,0.01,0.008442105822173467,0.0015578941778265337,0.0015578941778265337
Quartic time trend,quartic_time,full_data,1973,0.16,0.021204521643274604,0.1387954783567254,0.1387954783567254
Quartic time trend,quartic_time,full_data,1974,-0.07,0.03510844950437988,-0.10510844950437989,0.10510844950437989
Quartic time trend,quartic_time,full_data,1975,-0.01,0.05001715771252326,-0.060017157712523264,0.060017157712523264
Quartic time trend,quartic_time,full_data,1976,-0.1,0.06580119920796976,-0.16580119920796976,0.16580119920796976
Quartic time trend,quartic_time,full_data,1977,0.18,0.08233841156421536,0.09766158843578464,0.09766158843578464
Quartic time trend,quartic_time,full_data,1978,0.07,0.09951391698798712,-0.02951391698798711,0.02951391698798711
Quartic time trend,quartic_time,full_data,1979,0.16,0.11722012231924306,0.042779877680756945,0.042779877680756945
Quartic time trend,quartic_time,full_data,1980,0.26,0.13535671903117238,0.12464328096882762,0.12464328096882762
Quartic time trend,quartic_time,full_data,1981,0.32,0.15383068323019514,0.16616931676980487,0.16616931676980487
Quartic time trend,quartic_time,full_data,1982,0.14,0.1725562756559623,-0.03255627565596228,0.03255627565596228
Quartic time trend,quartic_time,full_data,1983,0.31,0.19145504168135616,0.11854495831864384,0.11854495831864384
Quartic time trend,quartic_time,full_data,1984,0.16,0.21045581131248986,-0.05045581131248986,0.05045581131248986
Quartic time trend,quartic_time,full_data,1985,0.12,0.22949469918870763,-0.10949469918870763,0.10949469918870763
Quartic time trend,quartic_time,full_data,1986,0.18,0.2485151045825844,-0.06851510458258442,0.06851510458258442
Quartic time trend,quartic_time,full_data,1987,0.32,0.26746771139992664,0.05253228860007336,0.05253228860007336
Quartic time trend,quartic_time,full_data,1988,0.39,0.28631048817977184,0.10368951182022818,0.10368951182022818
Quartic time trend,quartic_time,full_data,1989,0.27,0.30500868809438747,-0.03500868809438745,0.03500868809438745
Quartic time trend,quartic_time,full_data,1990,0.45,0.32353484894927365,0.12646515105072637,0.12646515105072637
Quartic time trend,quartic_time,full_data,1991,0.4,0.3418687931831602,0.05813120681683981,0.05813120681683981
Quartic time trend,quartic_time,full_data,1992,0.22,0.35999762786800893,-0.13999762786800893,0.13999762786800893
Quartic time trend,quartic_time,full_data,1993,0.23,0.37791574470901174,-0.14791574470901173,0.14791574470901173
Quartic time trend,quartic_time,full_data,1994,0.32,0.395624820044592,-0.07562482004459198,0.07562482004459198
Quartic time trend,quartic_time,full_data,1995,0.45,0.41313381484640416,0.036866185153595854,0.036866185153595854
Quartic time trend,quartic_time,full_data,1996,0.33,0.4304589747193338,-0.1004589747193338,0.1004589747193338
Quartic time trend,quartic_time,full_data,1997,0.46,0.4476238299014971,0.012376170098502948,0.012376170098502948
Quartic time trend,quartic_time,full_data,1998,0.61,0.4646591952642418,0.14534080473575817,0.14534080473575817
Quartic time trend,quartic_time,full_data,1999,0.38,0.48160317031214606,-0.10160317031214605,0.10160317031214605
Quartic time trend,quartic_time,full_data,2000,0.39,0.4985011391830195,-0.10850113918301951,0.10850113918301951
Quartic time trend,quartic_time,full_data,2001,0.53,0.5154057706479027,0.01459422935209731,0.01459422935209731
Quartic time trend,quartic_time,full_data,2002,0.63,0.5323770181110672,0.09762298188893281,0.09762298188893281
Quartic time trend,quartic_time,full_data,2003,0.62,0.5494821196100154,0.07051788038998463,0.07051788038998463
Quartic time trend,quartic_time,full_data,2004,0.53,0.5667955978154812,-0.03679559781548114,0.03679559781548114
Quartic time trend,quartic_time,full_data,2005,0.67,0.5843992600314291,0.08560073996857098,0.08560073996857098
Quartic time trend,quartic_time,full_data,2006,0.63,0.602382198195054,0.027617801804945996,0.027617801804945996
Quartic time trend,quartic_time,full_data,2007,0.66,0.6208407888767835,0.03915921112321652,0.03915921112321652
Quartic time trend,quartic_time,full_data,2008,0.54,0.6398786932802751,-0.0998786932802751,0.0998786932802751
Quartic time trend,quartic_time,full_data,2009,0.65,0.6596068572424164,-0.009606857242416389,0.009606857242416389
Quartic time trend,quartic_time,full_data,2010,0.72,0.6801435112333286,0.03985648876667136,0.03985648876667136
Quartic time trend,quartic_time,full_data,2011,0.61,0.7016141703563616,-0.09161417035636166,0.09161417035636166
Quartic time trend,quartic_time,full_data,2012,0.65,0.7241516343480973,-0.07415163434809724,0.07415163434809724
Quartic time trend,quartic_time,full_data,2013,0.67,0.7478959875783481,-0.07789598757834804,0.07789598757834804
Quartic time trend,quartic_time,full_data,2014,0.74,0.7729945990501583,-0.032994599050158335,0.032994599050158335
Quartic time trend,quartic_time,full_data,2015,0.89,0.7996021223998028,0.09039787760019724,0.09039787760019724
Quartic time trend,quartic_time,full_data,2016,1.01,0.8278804958967874,0.18211950410321265,0.18211950410321265
Quartic time trend,quartic_time,full_data,2017,0.92,0.8579989424438479,0.06200105755615215,0.06200105755615215
Quartic time trend,quartic_time,full_data,2018,0.84,0.8901339695769531,-0.05013396957695315,0.05013396957695315
Quartic time trend,quartic_time,full_data,2019,0.97,0.9244693694653019,0.04553063053469808,0.04553063053469808
Quartic time trend,quartic_time,full_data,2020,1.02,0.9611962189113238,0.05880378108867623,0.05880378108867623
Quartic time trend,quartic_time,full_data,2021,0.84,1.0005128793506803,-0.16051287935068037,0.16051287935068037
Quartic time trend,quartic_time,training_data,1958,0.06,0.052239393328323495,0.007760606671676502,0.007760606671676502
Quartic time trend,quartic_time,training_data,1959,0.03,0.027405961589436388,0.002594038410563611,0.002594038410563611
Quartic time trend,quartic_time,training_data,1960,-0.03,0.0069060363680780515,-0.03690603636807805,0.03690603636807805
Quartic time trend,quartic_time,training_data,1961,0.06,-0.009541570058056288,0.06954157005805628,0.06954157005805628
Quartic time trend,quartic_time,training_data,1962,0.03,-0.022209260200699917,0.052209260200699915,0.052209260200699915
Quartic time trend,quartic_time,training_data,1963,0.05,-0.03136065136101463,0.08136065136101464,0.08136065136101464
Quartic time trend,quartic_time,training_data,1964,-0.2,-0.037250575629590756,-0.16274942437040926,0.16274942437040926
Quartic time trend,quartic_time,training_data,1965,-0.11,-0.04012507988644708,-0.06987492011355292,0.06987492011355292
Quartic time trend,quartic_time,training_data,1966,-0.06,-0.04022142580103095,-0.01977857419896905,0.01977857419896905
Quartic time trend,quartic_time,training_data,1967,-0.02,-0.03776808983221818,0.01776808983221818,0.01776808983221818
Quartic time trend,quartic_time,training_data,1968,-0.08,-0.03298476322831318,-0.04701523677168682,0.04701523677168682
Quartic time trend,quartic_time,training_data,1969,0.05,-0.02608235202704875,0.07608235202704874,0.07608235202704874
Quartic time trend,quartic_time,training_data,1970,0.03,-0.017262977055586208,0.04726297705558621,0.04726297705558621
Quartic time trend,quartic_time,training_data,1971,-0.08,-0.0067199739305155645,-0.07328002606948444,0.07328002606948444
Quartic time trend,quartic_time,training_data,1972,0.01,0.0053621069421448675,0.004637893057855133,0.004637893057855133
Quartic time trend,quartic_time,training_data,1973,0.16,0.018807500366948185,0.1411924996330518,0.1411924996330518
Quartic time trend,quartic_time,training_data,1974,-0.07,0.03344922635901897,-0.10344922635901899,0.10344922635901899
Quartic time trend,quartic_time,training_data,1975,-0.01,0.049129090144053304,-0.059129090144053306,0.059129090144053306
Quartic time trend,quartic_time,training_data,1976,-0.1,0.06569768215831874,-0.16569768215831876,0.16569768215831876
Quartic time trend,quartic_time,training_data,1977,0.18,0.0830143780486544,0.0969856219513456,0.0969856219513456
Quartic time trend,quartic_time,training_data,1978,0.07,0.10094733867247083,-0.03094733867247082,0.03094733867247082
Quartic time trend,quartic_time,training_data,1979,0.16,0.11937351009774996,0.04062648990225004,0.04062648990225004
Quartic time trend,quartic_time,training_data,1980,0.26,0.13817862360304545,0.12182137639695456,0.12182137639695456
Quartic time trend,quartic_time,training_data,1981,0.32,0.15725719567748225,0.16274280432251775,0.16274280432251775
Quartic time trend,quartic_time,training_data,1982,0.14,0.17651252802075673,-0.03651252802075672,0.03651252802075672
Quartic time trend,quartic_time,training_data,1983,0.31,0.19585670754313728,0.11414329245686272,0.11414329245686272
Quartic time trend,quartic_time,training_data,1984,0.16,0.2152106063654632,-0.05521060636546318,0.05521060636546318
Quartic time trend,quartic_time,training_data,1985,0.12,0.2345038818191451,-0.11450388181914511,0.11450388181914511
Quartic time trend,quartic_time,training_data,1986,0.18,0.2536749764461662,-0.07367497644616622,0.07367497644616622
Quartic time trend,quartic_time,training_data,1987,0.32,0.2726711179990797,0.04732888200092028,0.04732888200092028
Quartic time trend,quartic_time,training_data,1988,0.39,0.2914483194410114,0.09855168055898861,0.09855168055898861
Quartic time trend,quartic_time,training_data,1989,0.27,0.30997137894565824,-0.03997137894565822,0.03997137894565822
Quartic time trend,quartic_time,training_data,1990,0.45,0.32821387989728856,0.12178612010271145,0.12178612010271145
Quartic time trend,quartic_time,training_data,1991,0.4,0.34615819089074235,0.05384180910925768,0.05384180910925768
Quartic time trend,quartic_time,training_data,1992,0.22,0.36379546573143096,-0.14379546573143095,0.14379546573143095
Quartic time trend,quartic_time,training_data,1993,0.23,0.3811256434353377,-0.15112564343533771,0.15112564343533771
Quartic time trend,quartic_time,training_data,1994,0.32,0.39815744822901666,-0.07815744822901666,0.07815744822901666
Quartic time trend,quartic_time,training_data,1995,0.45,0.41490838954959325,0.03509161045040676,0.03509161045040676
Quartic time trend,quartic_time,training_data,1996,0.33,0.43140476204476513,-0.10140476204476512,0.10140476204476512
Quartic time trend,quartic_time,training_data,1997,0.46,0.4476816455728014,0.012318354427198641,0.012318354427198641
Quartic time trend,quartic_time,training_data,1998,0.61,0.4637829052025421,0.14621709479745787,0.14621709479745787
Quartic time trend,quartic_time,training_data,1999,0.38,0.4797611912134002,-0.09976119121340021,0.09976119121340021
Quartic time trend,quartic_time,training_data,2000,0.39,0.4956779390953574,-0.10567793909535739,0.10567793909535739
Quartic time trend,quartic_time,training_data,2001,0.53,0.5116033695489689,0.018396630451031126,0.018396630451031126
Quartic time trend,quartic_time,training_data,2002,0.63,0.5276164884853614,0.10238351151463865,0.10238351151463865
Quartic time trend,quartic_time,training_data,2003,0.62,0.5438050870262325,0.07619491297376746,0.07619491297376746
Quartic time trend,quartic_time,training_data,2004,0.53,0.560265741503852,-0.030265741503851973,0.030265741503851973
Quartic time trend,quartic_time,training_data,2005,0.67,0.57710381346106,0.09289618653894005,0.09289618653894005
Quartic time trend,quartic_time,training_data,2006,0.63,0.5944334496512689,0.03556655034873113,0.03556655034873113
Quartic time trend,quartic_time,training_data,2007,0.66,0.6123775820384622,0.04762241796153788,0.04762241796153788
Quartic time trend,quartic_time,training_data,2008,0.54,0.6310679277971958,-0.09106792779719575,0.09106792779719575
Quartic time trend,quartic_time,training_data,2009,0.65,0.6506449893125971,-0.0006449893125970441,0.0006449893125970441
Quartic time trend,quartic_time,training_data,2010,0.72,0.6712580541803626,0.04874194581963742,0.04874194581963742
Quartic time trend,quartic_time,training_data,2011,0.61,0.6930651952067629,-0.08306519520676292,0.08306519520676292
Quartic time trend,quartic_time,test_data,2012,0.65,0.7162332704086387,-0.06623327040863869,0.06623327040863869
Quartic time trend,quartic_time,test_data,2013,0.67,0.740937923013404,-0.07093792301340396,0.07093792301340396
Quartic time trend,quartic_time,test_data,2014,0.74,0.767363581459041,-0.027363581459041053,0.027363581459041053
Quartic time trend,quartic_time,test_data,2015,0.89,0.7957034593941064,0.09429654060589365,0.09429654060589365
Quartic time trend,quartic_time,test_data,2016,1.01,0.8261595556777281,0.18384044432227187,0.18384044432227187
Quartic time trend,quartic_time,test_data,2017,0.92,0.8589426543796044,0.061057345620395664,0.061057345620395664
Quartic time trend,quartic_time,test_data,2018,0.84,0.8942723247800042,-0.05427232478000421,0.05427232478000421
Quartic time trend,quartic_time,test_data,2019,0.97,0.9323769213697701,0.037623078630229845,0.037623078630229845
Quartic time trend,quartic_time,test_data,2020,1.02,0.9734935838503157,0.046506416149684315,0.046506416149684315
Quartic time trend,quartic_time,test_data,2021,0.84,1.0178682371336254,-0.17786823713362543,0.17786823713362543
Shifted exponential time trend,shifted_exp_time,full_data,1958,0.06,-0.07040465275244082,0.13040465275244081,0.13040465275244081
